"txid","pair","time","type","ordertype","price","cost","fee","vol"
"TPBEU5-ET44O-2WOMVP","BTC/CAD","2024-06-26 18:55:38.7674","sell","market",83440.86000,125.16129,0.50065,0.00150000
"TBH26U-LUDCG-ZQU3WY","BTC/CAD","2024-06-26 19:18:07.1166","buy","market",83335.70000,125.00355,0.50001,0.00150000
"TFD524-DHKV5-ENWMOF","BTC/CAD","2024-06-26 19:38:06.8936","sell","market",83603.30000,125.40495,0.50162,0.00150000
"T2TGRZ-TOQAO-VQJRNI","BTC/CAD","2024-06-26 19:48:06.4546","buy","market",83309.40000,124.96410,0.49986,0.00150000
"T2UKRR-Y5VZS-ANE3CH","BTC/CAD","2024-06-26 19:58:06.4119","sell","market",83633.30000,125.44995,0.50180,0.00150000
"TBJ53K-VR7SZ-2NTHIH","BTC/CAD","2024-06-26 20:18:07.8543","buy","market",83374.60000,125.06190,0.50025,0.00150000
"TMV2CU-UNVP6-DWSQP5","BTC/CAD","2024-06-26 20:58:07.9943","sell","market",83459.90000,125.18985,0.50076,0.00150000
"TYYMSM-ZDWU7-4ZB7FE","BTC/CAD","2024-06-26 22:48:07.2693","buy","market",83363.40000,125.04510,0.50018,0.00150000
"TDPGBO-M7NHM-IVVQHV","BTC/CAD","2024-06-27 00:38:09.3921","sell","market",83568.90000,125.35335,0.50141,0.00150000
"TDJ3UC-VY4EL-QL5BLN","BTC/CAD","2024-06-27 00:48:07.4883","buy","market",83435.40000,125.15310,0.50061,0.00150000
"TY4SA3-MXEL7-4G5EQG","BTC/CAD","2024-06-27 00:58:06.4729","sell","market",83568.30000,125.35245,0.50141,0.00150000
"TJHS4R-XFJQ6-KXC3IA","BTC/CAD","2024-06-27 02:08:09.0046","buy","market",83420.10000,125.13015,0.50052,0.00150000
"TNP3US-QDJRH-TIHMI7","BTC/CAD","2024-06-27 02:38:06.9928","sell","market",83517.00000,125.27550,0.50110,0.00150000
"TEJQAZ-WZG4U-LAHF2Y","BTC/CAD","2024-06-27 05:58:05.7991","buy","market",83398.40000,125.09760,0.50039,0.00150000
"T27YIK-EQDQZ-YSZVDN","BTC/CAD","2024-06-27 09:48:06.2977","sell","market",83532.60000,125.29890,0.50120,0.00150000
"TPNYHL-GGI3D-XVWVX3","BTC/CAD","2024-06-28 14:48:06.3977","buy","market",83436.40000,125.15460,0.50062,0.00150000
"TZPVIS-HU5WK-RB2AMU","BTC/CAD","2024-06-28 15:58:06.9953","sell","market",83596.50000,125.39475,0.50158,0.00150000
"TKMUMY-3SPBV-L5EUKE","BTC/CAD","2024-06-28 16:08:08.5571","buy","market",83408.90000,125.11335,0.50045,0.00150000